Timestamp,Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
8-31-2020 10:24:49,Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 17:39:42,Male,Off (No webcam available),On (To answer Teacher),Computer,Eye Strain,Yes,Presentations (ppt),Yes,Online classes,"Good Teaching , But It can be improved "
8-31-2020 17:40:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,I would prefer offline classes 
8-31-2020 17:43:43,Male,On (All the time),On (To answer Teacher),Computer,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 17:44:06,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 17:44:33,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),No,Offline classes,
8-31-2020 17:46:44,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 17:47:08,Male,On (All the time),On (To answer Teacher),Tab,Back pain,No,Black board teaching,No,Online classes,
8-31-2020 17:47:26,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Due to this situation I am ok with online classes
8-31-2020 17:47:40,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 17:48:04,Male,Off (Other reason),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 17:48:43,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Presentations (ppt),No,Offline classes,It's good to have ppts because interesting but the fact at sitting at home and attending classes don't do hand in hand 
8-31-2020 17:49:54,Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,"I think the time of each class should be minimised to 40 minutes and a break of 10 minutes should be compulsory given (which is not given now)so everyone will be refreshed.As these are online classes,hectic schedule make no sense, classes should be happened in  minimum time so that eveyone will be concentrating properly.As it is home not everyone will show interest upto the mark as compared to offline teaching,so teachers have a responsibility to adopt to new teaching techniques for online teaching and there are lot more points to be considered ."
8-31-2020 17:50:13,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 17:50:14,Male,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,"Good
"
8-31-2020 17:50:23,Female,Off (Other reason),Always On,Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,It's great way of teaching classes and get to lot many new emerging technologies
8-31-2020 17:50:25,Male,On (When teacher asks),Off (Other reason),"Tab, Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 17:50:37,Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
8-31-2020 17:50:40,Female,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Internet is not always available. There are frequent power cuts. Online learning is not comfortable for everyone.
8-31-2020 17:50:43,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,No,Black board teaching,Yes,Online classes,
